Team,5_Raw,4_Raw,3_Raw,5_Exp,4_Exp,3_Exp,5_Prob,4_Prob,3_Prob
Alabama,11,58,13,13.006555015772603,57.299817423203486,14.138377709621505,0.11617566227596182,0.044346369087672324,0.002443598686280309
Georgia,13,47,25,12.143640180087369,48.91287514030959,20.901967354375767,0.10846803313035673,0.037855415805095105,0.0036125799590902194
LSU,14,45,25,10.386766901525307,47.650624424026034,27.321595041039995,0.09277549068353853,0.03687851502839522,0.004722112757246123
Oklahoma,6,41,31,8.670746675772397,46.43951954719136,32.03184309237413,0.07744785119990638,0.03594119783809225,0.005536205872219398
Ohio State,7,44,32,6.979413994961057,45.228630475319996,35.90709348608253,0.06234072298002367,0.03500404766693496,0.006205982629182739
Florida,5,36,40,5.603917784572303,44.017741403448724,35.05868819275058,0.0500546731377552,0.034066897495777744,0.006059348969876243
Auburn,3,43,37,5.1338686794744195,42.80685233157715,34.10493291774098,0.04585615431238228,0.03312974732462029,0.0058945072047945
Texas A&M,5,45,31,4.698004479314461,41.59596325970601,33.14319926587969,0.04196297798286535,0.032192597153463176,0.005728286501365384
Texas,7,33,33,4.262140279154503,40.3850741878349,32.741599490425656,0.038069801653348424,0.03125544698230609,0.00565887622644805
Clemson,4,46,25,3.8262760789945407,39.17418511596305,34.021700160515834,0.03417662532383147,0.03031829681114842,0.005880121717266292
Penn State,4,36,38,3.3904118788345965,37.96329604409213,35.301800830605956,0.03028344899431467,0.02938114663999148,0.006101367208084524
Michigan,2,40,41,2.9545476786746523,36.75240697222081,36.60503355904304,0.02639027266479787,0.028443996468834228,0.006326610715404263
Oregon,3,43,33,2.5757150402552984,35.54151790034918,37.926907434082565,0.023006507124518554,0.02750684629767673,0.0065550760549797265
Notre Dame,1,46,35,2.221693387912177,34.33062882847791,39.24878130912218,0.019844355434765423,0.026569696126519517,0.006783541394555206
Florida State,1,38,35,2.0956707443720664,33.11973975660646,40.57157703102469,0.018718710399836073,0.02563254595536216,0.007012166061023019
USC,4,32,47,1.9696481014547533,31.908850684735082,42.12092037292636,0.01759306537046961,0.024695395784204863,0.00727994596000617
Tennessee,1,31,51,1.8436254585374119,30.697961612864784,43.670263714828295,0.016467420341102892,0.0237582456130484,0.007547725858989365
Washington,2,32,37,1.717602815620106,29.487072540992045,45.21960705673017,0.015341775311736491,0.02282109544189005,0.00781550575797255
South Carolina,1,41,40,1.5915801727027503,28.276183469121552,46.7689503986321,0.014216130282369645,0.021883945270733434,0.008083285656955746
Nebraska,3,26,46,1.4655575297854089,27.065294397249463,48.318293740533974,0.013090485253002927,0.020946795099575585,0.00835106555593893
Stanford,1,23,52,1.3395348868680959,25.854405325378288,49.86763708243579,0.011964840223636463,0.020009644928418443,0.008618845454922105
Mississippi State,2,18,51,1.2135122439507828,24.643516253506032,51.41698042433784,0.010839195194269997,0.019072494757260465,0.00888662535390532
Miami-FL,1,21,59,1.0874896010334059,23.432627181635027,52.96632376623977,0.009713550164902962,0.018135344586103455,0.009154405252888515
Ole Miss,0,20,63,0.9614669581161142,22.221738109765724,54.51566710814164,0.008587905135536688,0.017198194414947764,0.0094221851518717
Arkansas,2,16,61,0.8354443151988082,21.010849037892847,55.39439354533987,0.007462260106170287,0.016261044243789304,0.009574059349296494
Virginia Tech,1,18,56,0.7094216722814881,19.79995996602178,56.273119975994504,0.006336615076803759,0.015323894072632249,0.00972593354559033
Michigan State,0,15,63,0.5833990293640827,18.589070894149696,57.15184640664903,0.005210970047436469,0.014386743901474403,0.009877807741884147
Wisconsin,0,15,65,0.4573763864467626,17.378181822279203,58.03057283730361,0.004085325018069941,0.013449593730317788,0.010029681938177973
North Carolina,0,20,57,0.33135374352942826,16.167292750408762,58.90929926795813,0.002959679988703286,0.012512443559161215,0.010181556134471791
TCU,0,14,63,0.20702132518862904,14.956403678537587,59.7880256986126,0.001849132189874306,0.011575293388004074,0.010333430330765598
Arizona State,0,13,66,0.20427252996628376,14.369257239713825,60.666752129267294,0.0018245797157541638,0.011120879851355578,0.010485304527059444
NC State,0,16,54,0.20152373474388163,13.782492982373478,61.54547855992193,0.001800027241633514,0.010666762098566162,0.01063717872335328
Kentucky,1,8,68,0.1987749395215932,13.195728725035577,62.42420499057617,0.0017754747675138795,0.01021264434577864,0.010789052919647048
UCLA,0,15,64,0.19602614429917686,12.608964467697104,63.302931421230866,0.0017509222933931026,0.009758526592990674,0.010940927115940894
Purdue,0,13,62,0.1932773490768458,12.022200210357896,64.1816578518855,0.0017263698192730875,0.00930440884020214,0.01109280131223473
Baylor,0,13,61,0.19052855385444367,11.435435953018802,65.06038428254008,0.0017018173451524374,0.008850291087413694,0.011244675508528557
Oklahoma State,1,11,66,0.1877797586321126,10.848671695679593,65.93911071319427,0.0016772648710324221,0.008396173334625159,0.011396549704822314
Missouri,0,12,57,0.18503096340976732,10.261907438341748,66.81783714384885,0.00165271239691228,0.00794205558183768,0.011548423901116142
Iowa,0,8,64,0.18228216818733678,9.67514318100504,67.69656357450371,0.0016281599227913762,0.007487937829051081,0.011700298097410017
Utah,0,8,73,0.17953337296503413,9.088378923666058,68.57529000515807,0.0016036074486716148,0.0070338200762627215,0.011852172293703804
Indiana,1,6,61,0.17678457774264622,8.501614666326509,69.45401643581276,0.0015790549745510918,0.006579702323473923,0.012004046489997651
Minnesota,0,7,75,0.1740357825202299,7.9148504089869585,70.33274286646711,0.001554502500430315,0.006125584570685124,0.012155920686291437
Colorado,1,6,71,0.17128698729794145,7.3280861516459295,70.24940283421277,0.0015299500263106804,0.00567146681789518,0.012141516657942933
